team,date,home,neutral,opponent,tmPts,oppPts,OT,tmWeek,oppWeek,week,tmSprd,oppSprd,OU,season,month,day,year,code,tmWin,tmATSWin,tmOver,tmWinSeas,tmLosSeas,tmWinStrk,tmLosStrk,tmATSWinSeas,tmATSLosSeas,tmATSWinStrk,tmATSLosStrk,tmOVRSeas,tmUDRSeas,tmOVRStrk,tmUDRStrk,opWin,opATSWin,opOver,opWinSeas,opLosSeas,opWinStrk,opLosStrk,opATSWinSeas,opATSLosSeas,opATSWinStrk,opATSLosStrk,opOVRSeas,opUDRSeas,opOVRStrk,opUDRStrk
TEN,10/18/2021,1,0,BUF ,34,31,0,6,6,6,5.5,-5.5,53,2021,10,18,2021,1TENBUF //10//18//2021,1,1,1,3,2,1,0,3,2,1,0,3.5,1.5,2,0,-1,-1,1,4,1,4,0,4,1,4,0,3,2,1,0
TEN,12/4/2022,0,0,PHI ,10,35,0,12,12,13,5.5,-5.5,44.5,2022,12,4,2022,2PHI TEN//12//4//2022,-1,-1,1,7,4,0,1,8,3,0,1,1.5,9.5,0,1,1,1,1,10,1,2,0,6,5,1,0,7,4,1,0
TEN,10/15/2023,1,1,BAL ,16,24,0,6,6,6,5.5,-5.5,42.5,2023,10,15,2023,1TENBAL //10//15//2023,-1,-1,-1,2,3,0,1,3,2,0,1,1,4,0,3,1,1,-1,3,2,0,1,3,2,0,1,1,4,0,3
TEN,12/31/2023,0,0,HOU ,3,26,0,16,16,17,5.5,-5.5,44,2023,12,31,2023,2HOU TEN//12//31//2023,-1,-1,-1,5,10,0,2,6.5,8.5,0,1,5,10,0,2,1,1,-1,8,7,0,1,7,8,0,1,6,9,1,0
WAS,12/18/2011,0,0,NYG,23,10,0,14,14,15,5.5,-5.5,45,2011,12,18,2011,1NYGWAS//12//18//2011,1,1,-1,4,9,0,2,6,7,1,0,6,7,4,0,-1,-1,-1,7,6,1,0,6.5,6.5,2,0,7.5,5.5,3,0
WAS,10/13/2013,0,0,DAL,16,31,0,5,6,6,5.5,-5.5,52,2013,10,13,2013,1DALWAS//10//13//2013,-1,-1,-1,1,3,1,0,1,3,1,0,2,2,0,2,1,1,-1,2,3,0,2,4,1,1,0,2,3,2,0
WAS,11/25/2013,1,0,SF,6,27,0,11,11,12,5.5,-5.5,45.5,2013,11,25,2013,2WASSF//11//25//2013,-1,-1,-1,3,7,0,2,3,7,0,2,6,4,0,1,1,1,-1,6,4,0,2,7,3,1,0,4,6,0,2
WAS,12/15/2013,0,0,ATL,26,27,0,14,14,15,5.5,-5.5,50,2013,12,15,2013,1ATLWAS//12//15//2013,-1,1,1,3,10,0,5,3,10,0,5,7,6,1,0,1,-1,1,3,10,0,1,5,8,3,0,8,5,0,1
WAS,11/24/2016,0,0,DAL,26,31,0,11,11,12,5.5,-5.5,53,2016,11,24,2016,1DALWAS//11//24//2016,-1,1,1,6.5,3.5,2,0,7,3,3,0,8,2,3,0,1,-1,1,9,1,9,0,9,1,9,0,5,5,0,1
WAS,10/8/2018,0,0,NO,19,43,0,4,5,5,5.5,-5.5,51.5,2018,10,8,2018,1NOWAS//10//8//2018,-1,-1,1,2,1,1,0,2,1,1,0,1,2,1,0,1,1,1,3,1,3,0,2,2,2,0,2,2,0,1
WAS,12/3/2018,0,0,PHI,13,28,0,12,12,13,5.5,-5.5,45,2018,12,3,2018,1PHIWAS//12//3//2018,-1,-1,-1,6,5,0,2,7,4,0,1,5,6,2,0,1,1,-1,5,6,1,0,3,8,0,3,4,7,0,2
WAS,12/12/2021,1,0,DAL ,20,27,0,13,13,14,5.5,-5.5,48,2021,12,12,2021,1WASDAL //12//12//2021,-1,-1,-1,6,6,4,0,5,7,4,0,5,7,0,2,1,1,-1,8,4,1,0,9,3,1,0,5,7,0,1
WAS,1/2/2022,1,0,PHI ,16,20,0,16,16,17,5.5,-5.5,44,2021,1,2,2022,1WASPHI //1//2//2022,-1,1,-1,6,9,0,3,5.5,9.5,0,2,7,8,2,0,1,-1,-1,8,7,3,0,8.5,6.5,2,0,9,6,3,0
ARI,1/2/2011,0,0,SF,7,38,0,16,16,17,6,-6,39.5,2010,1,2,2011,1SFARI//1//2//2011,-1,-1,1,5,10,1,0,5,10,1,0,9,6,1,0,1,1,1,5,10,0,2,5,10,0,2,9,6,1,0
ARI,12/2/2012,0,0,NYJ,6,7,0,12,12,13,6,-6,36.5,2012,12,2,2012,1NYJARI//12//2//2012,-1,1,-1,4,7,0,7,4.5,6.5,0,1,3,8,1,0,1,-1,-1,4,7,0,1,6,5,0,1,5,6,2,0
