"","diff","lwr","upr","p.adj"
"Teflon:Twill:Three-Teflon:Plain:Two",-41.3002,-82.1782790163652,-0.422120983634798,0.0445792844547999
"Soil:Twill:Two-Regular:Twill:Two",42.7000000000001,1.82192098363493,83.5780790163653,0.0301241568774404
"Teflon:Twill:Two-Regular:Twill:Two",-102.4,-143.278079016365,-61.5219209836346,4.29231428178412e-10
"Teflon:Plain:Three-Regular:Twill:Two",-117,-157.878079016365,-76.1219209836346,4.28285962250641e-10
"Soil:Twill:Three-Regular:Twill:Two",49.0000000000002,8.12192098363499,89.8780790163654,0.00426602254732289
"Teflon:Twill:Three-Regular:Twill:Two",-130.5002,-171.378279016365,-89.6221209836346,4.28159951937346e-10
"Teflon:Twill:Two-Water:Twill:Two",-113.4998,-154.377879016365,-72.6217209836347,4.28324931078805e-10
"Soil:Plain:Three-Water:Twill:Two",-41.2995999999999,-82.1776790163651,-0.421520983634707,0.0445866079628856
"Teflon:Plain:Three-Water:Twill:Two",-128.0998,-168.977879016365,-87.2217209836347,4.28175273015086e-10
"Teflon:Twill:Three-Water:Twill:Two",-141.6,-182.478079016365,-100.721920983635,4.28128421603446e-10
"Teflon:Twill:Two-Soil:Twill:Two",-145.1,-185.978079016365,-104.221920983635,4.2812453582286e-10
"Water:Plain:Three-Soil:Twill:Two",-41.4000000000001,-82.2780790163653,-0.521920983634885,0.0433757587392731
"Soil:Plain:Three-Soil:Twill:Two",-72.8998,-113.777879016365,-32.0217209836348,4.19214009728108e-07
"Teflon:Plain:Three-Soil:Twill:Two",-159.7,-200.578079016365,-118.821920983635,4.28122981510626e-10
"Regular:Twill:Three-Soil:Twill:Two",-57.5002000000001,-98.3782790163653,-16.6221209836349,0.000207531641844838
"Water:Twill:Three-Soil:Twill:Two",-56.5000000000001,-97.3780790163653,-15.6219209836349,0.000301736958035481
"Teflon:Twill:Three-Soil:Twill:Two",-173.2002,-214.078279016365,-132.322120983635,4.28122870488323e-10
"Regular:Plain:Three-Teflon:Twill:Two",131.2998,90.4217209836346,172.177879016365,4.28161173182673e-10
"Water:Plain:Three-Teflon:Twill:Two",103.7,62.8219209836347,144.578079016365,4.28829527443497e-10
"Soil:Plain:Three-Teflon:Twill:Two",72.2002,31.3221209836348,113.078279016365,5.63583128054823e-07
"Regular:Twill:Three-Teflon:Twill:Two",87.5997999999998,46.7217209836346,128.477879016365,1.1125740329021e-09
"Water:Twill:Three-Teflon:Twill:Two",88.5999999999999,47.7219209836346,129.478079016365,8.66189786563609e-10
"Soil:Twill:Three-Teflon:Twill:Two",151.4,110.521920983635,192.278079016365,4.28123647644441e-10
"Soil:Plain:Three-Regular:Plain:Three",-59.0995999999999,-99.9776790163651,-18.2215209836347,0.000113065918704525
"Teflon:Plain:Three-Regular:Plain:Three",-145.8998,-186.777879016365,-105.021720983635,4.28124424800558e-10
"Regular:Twill:Three-Regular:Plain:Three",-43.7,-84.5780790163652,-2.82192098363478,0.0225352529830963
"Water:Twill:Three-Regular:Plain:Three",-42.6998,-83.5778790163652,-1.82172098363478,0.0301258804699818
"Teflon:Twill:Three-Regular:Plain:Three",-159.4,-200.278079016365,-118.521920983635,4.28122981510626e-10
"Teflon:Plain:Three-Water:Plain:Three",-118.3,-159.178079016365,-77.4219209836347,4.28276081265722e-10
"Soil:Twill:Three-Water:Plain:Three",47.7000000000002,6.82192098363495,88.5780790163654,0.00653417776344178
"Teflon:Twill:Three-Water:Plain:Three",-131.8002,-172.678279016365,-90.9221209836346,4.28159507848136e-10
"Teflon:Plain:Three-Soil:Plain:Three",-86.8002,-127.678279016365,-45.9221209836348,1.40541733806288e-09
"Soil:Twill:Three-Soil:Plain:Three",79.1998000000001,38.3217209836349,120.077879016365,2.82829214492963e-08
"Teflon:Twill:Three-Soil:Plain:Three",-100.3004,-141.178479016365,-59.4223209836347,4.30611768464928e-10
"Regular:Twill:Three-Teflon:Plain:Three",102.1998,61.3217209836346,143.077879016365,4.29318580685845e-10
"Water:Twill:Three-Teflon:Plain:Three",103.2,62.3219209836346,144.078079016365,4.28953761399953e-10
"Soil:Twill:Three-Teflon:Plain:Three",166,125.121920983635,206.878079016365,4.28122870488323e-10
"Soil:Twill:Three-Regular:Twill:Three",63.8002000000002,22.922120983635,104.678279016365,1.79314387958041e-05
"Teflon:Twill:Three-Regular:Twill:Three",-115.7,-156.578079016365,-74.8219209836346,4.2829495505714e-10
"Soil:Twill:Three-Water:Twill:Three",62.8000000000002,21.921920983635,103.678079016365,2.67064802744743e-05
"Teflon:Twill:Three-Water:Twill:Three",-116.7002,-157.578279016365,-75.8221209836346,4.28277635577956e-10
"Teflon:Twill:Three-Soil:Twill:Three",-179.5002,-220.378279016365,-138.622120983635,4.28122870488323e-10
